기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
20244,A,골목상권,3110017,정독도서관,CS100010,커피-음료,56534679,2144,29935112,26599567,8958763,1819840,4819665,7439736,6897108,17467131,9132436,0,365630,10428760,28901375,16838914,0,22452736,33059842,327889,12275130,16513694,8298518,12310326,5787021,1164,980,341,67,183,291,282,640,340,0,17,366,1138,623,0,825,1286,26,478,607,316,479,204,3978549.0,8.0,488287266.0,130969540.0,58775262.0,35505747.0,66069945.0,78411323.0,18545568.0,14438314.0,65414259.0,20157308.0,638.0,310.0,328.0,86.0,60.0,96.0,88.0,114.0,194.0,50.0,33.0,43.0,44.0,58.0,82.0,36.0,27.0,53.0,44.0,56.0,112.0,293.0,0.0,293.0,442774.0,204009.0,238765.0,55133.0,63238.0,69994.0,83759.0,73739.0,96912.0,80977.0,90066.0,81795.0,82025.0,69458.0,38455.0,62156.0,62128.0,65269.0,66008.0,65894.0,64235.0,57085.0,5,5,0,0,20,1,0,198581,453781,11110,종로구,11110600,가회동,83855
20244,A,골목상권,3110018,중앙고등학교,CS100010,커피-음료,275393543,24837,184019870,91373673,19692540,37541544,44799251,39304740,42681795,56904197,34469476,0,23229579,114537970,111926234,25699760,0,79597401,153159783,807555,37806078,46138349,63048701,53316260,31640239,16078,8759,1593,3419,3857,3732,3477,5419,3340,0,2467,10396,10240,1734,0,8320,14190,125,4377,4975,5389,5058,2586,3430192.0,7.0,1569319603.0,412408387.0,186273004.0,112912049.0,206502191.0,255458150.0,55128487.0,46917612.0,228907288.0,64812435.0,2635.0,1220.0,1415.0,314.0,308.0,346.0,435.0,462.0,770.0,165.0,144.0,155.0,193.0,226.0,337.0,149.0,164.0,191.0,242.0,236.0,433.0,1267.0,0.0,1267.0,461181.0,220545.0,240636.0,86427.0,59156.0,76347.0,82821.0,73575.0,82856.0,89800.0,103879.0,78113.0,78735.0,67150.0,43504.0,68919.0,68984.0,68454.0,70204.0,68885.0,59768.0,55967.0,19,20,5,1,5,1,1,198883,453690,11110,종로구,11110600,가회동,166872
20244,A,골목상권,3110019,창덕궁,CS100010,커피-음료,560660471,44382,367221997,193438474,42072108,67357829,85695887,86459574,85636599,125413587,68024887,0,36014969,200776155,227914479,85544739,10410129,175249001,313643746,3694175,121069349,144066794,76215014,86172677,57674739,28961,15421,3551,5326,6773,6323,6988,10026,5395,0,3833,16000,17879,6619,51,14547,25813,275,10764,11796,6663,6582,4279,2496875.0,6.0,266124846.0,88835562.0,30923562.0,19943040.0,44779439.0,36997427.0,8813062.0,8884951.0,15987046.0,10960757.0,203.0,114.0,89.0,11.0,5.0,21.0,34.0,34.0,98.0,8.0,3.0,11.0,20.0,22.0,50.0,3.0,2.0,10.0,14.0,12.0,48.0,123.0,0.0,123.0,591334.0,314224.0,277109.0,30478.0,106996.0,111992.0,116955.0,111311.0,113600.0,62548.0,114753.0,120396.0,130332.0,117537.0,45765.0,88994.0,90714.0,90501.0,92698.0,94776.0,75273.0,58377.0,20,21,0,0,0,0,1,199222,452926,11110,종로구,11110615,종로1?2?3?4가동,40999
20244,A,골목상권,3110020,서울국제고등학교,CS100010,커피-음료,71662178,25853,58541980,13120198,12069792,11891251,11916208,11778876,10885853,6865127,6255071,0,14410187,27960626,15873582,13318260,99523,32439583,39177680,2751220,38968960,9058572,4420606,14111629,2306276,21256,4597,4498,4334,4319,4359,3746,2454,2143,0,5924,10082,5470,4367,10,11560,14287,1027,14698,2910,1278,5245,688,2736810.0,6.0,1893277180.0,452132567.0,252800465.0,124254004.0,230932468.0,243437040.0,68238981.0,71326707.0,354675459.0,95479489.0,3738.0,1893.0,1845.0,323.0,1089.0,448.0,449.0,504.0,925.0,155.0,570.0,275.0,241.0,250.0,402.0,168.0,519.0,173.0,208.0,254.0,523.0,2290.0,0.0,2290.0,1936890.0,804754.0,1132136.0,265709.0,970098.0,161603.0,152303.0,166781.0,220397.0,600252.0,427483.0,213413.0,190654.0,260773.0,244316.0,281040.0,281115.0,282101.0,280685.0,269493.0,267688.0,274770.0,8,11,0,0,0,0,3,199598,454302,11110,종로구,11110650,혜화동,133692
20244,A,골목상권,3110021,성균관대학교,CS100010,커피-음료,381683175,57041,231050417,150632758,41316383,41342401,55430660,48093148,44867825,85151779,65480979,863512,26510232,111867674,143152036,92395224,6894497,134998712,246303866,13627853,158196049,76768952,49027183,65738720,17943821,37494,19547,7126,7095,8081,7764,7428,10728,8819,117,7733,16860,18705,12714,912,24976,32017,1743,22589,12457,7159,10126,2920,2902668.0,6.0,1062083531.0,242915806.0,149142873.0,64336647.0,128741468.0,119906366.0,38074560.0,43410868.0,217013206.0,58541737.0,1887.0,898.0,989.0,160.0,680.0,254.0,168.0,239.0,386.0,75.0,319.0,141.0,78.0,112.0,173.0,85.0,361.0,113.0,90.0,127.0,213.0,1232.0,0.0,1232.0,1537717.0,663319.0,874398.0,226428.0,688042.0,163965.0,152407.0,145585.0,161290.0,355603.0,296569.0,198442.0,202480.0,284125.0,200499.0,208459.0,214104.0,222420.0,217614.0,216789.0,230498.0,227834.0,16,19,16,3,5,1,3,199759,453776,11110,종로구,11110650,혜화동,77655
20244,A,골목상권,3110022,경신고등학교,CS100010,커피-음료,83182212,8169,59112949,24069263,15226998,9427105,10643873,11718319,12096654,9928916,14140347,0,7127178,35255783,24227906,16471043,100302,29029698,47001615,1068386,12874249,13539587,18022164,12026314,18500615,6251,1918,1445,1133,1129,1314,1230,996,922,0,912,3308,2619,1318,12,2872,4874,176,936,1399,1854,1547,1836,3478003.0,7.0,879563907.0,213067686.0,112630640.0,67054373.0,103617117.0,141197378.0,35771940.0,28983203.0,137249616.0,39991954.0,1512.0,675.0,837.0,222.0,367.0,197.0,209.0,219.0,298.0,104.0,170.0,89.0,84.0,101.0,127.0,118.0,197.0,108.0,125.0,118.0,171.0,795.0,0.0,795.0,563332.0,257194.0,306139.0,123396.0,127599.0,63092.0,75528.0,75043.0,98673.0,138207.0,127910.0,74072.0,69155.0,87700.0,66288.0,82429.0,82001.0,82578.0,82043.0,80317.0,75881.0,78082.0,7,7,0,0,0,0,0,199921,454166,11110,종로구,11110650,혜화동,60182
20244,A,골목상권,3110023,서울대병원,CS100010,커피-음료,563501517,108178,468255880,95245637,91427563,91387924,97233275,98525640,89681478,52207806,43037831,1782376,115330758,223546357,104654714,95711035,22476277,221423877,251820663,3966835,102627282,146666352,102917387,82746639,34320040,87496,20682,17183,17377,17189,18153,17594,11447,9235,281,29293,37271,21464,14565,5304,50862,53612,929,26133,32523,20624,16467,7794,3548230.0,7.0,430124011.0,108261409.0,56900899.0,32354969.0,52009106.0,63413630.0,16013724.0,16065073.0,63589499.0,21515702.0,538.0,229.0,309.0,28.0,141.0,126.0,49.0,54.0,140.0,15.0,61.0,49.0,25.0,22.0,57.0,13.0,80.0,77.0,24.0,32.0,83.0,364.0,0.0,364.0,773298.0,330565.0,442733.0,87039.0,180716.0,140212.0,127752.0,108033.0,129547.0,96016.0,173025.0,145631.0,147507.0,142623.0,68497.0,113828.0,119164.0,121097.0,121488.0,121855.0,95193.0,80674.0,3,9,0,0,0,0,6,200139,453265,11110,종로구,11110640,이화동,15969
20244,A,골목상권,3110024,혜회동주민센터,CS100010,커피-음료,111245611,9818,72228315,39017296,14828176,15240281,13897843,16607051,11654964,22397248,16620048,206725,3303469,54139033,27489413,23723170,2383801,33412657,56359581,650292,19501795,18543033,13364037,20478148,17234937,6738,3080,1075,1486,1365,1483,1329,1803,1277,4,154,4515,2945,2002,198,3836,5179,65,2028,2094,1589,1958,1284,3655720.0,7.0,526235130.0,139291704.0,65438122.0,42020919.0,64590263.0,87008490.0,19119069.0,17469686.0,67542127.0,23754750.0,979.0,427.0,552.0,85.0,277.0,153.0,114.0,139.0,211.0,43.0,114.0,66.0,52.0,66.0,86.0,42.0,163.0,87.0,62.0,73.0,125.0,612.0,0.0,612.0,276546.0,123492.0,153055.0,50990.0,60181.0,34018.0,39655.0,39624.0,52079.0,58217.0,60057.0,38982.0,38253.0,49831.0,31209.0,39368.0,39504.0,40325.0,39688.0,39753.0,38620.0,39287.0,13,14,0,0,0,0,1,200121,454192,11110,종로구,11110650,혜화동,52850
20244,A,골목상권,3110027,혜화역 1번,CS100010,커피-음료,121311629,16039,77411034,43900595,12295077,17020142,19723199,12031035,16341581,23585194,20315401,0,1741398,44467930,41093607,31668932,2339762,39887301,72024523,4351690,32271691,31533387,20449825,16107316,7197916,10553,5486,1775,2233,2489,1794,2262,2937,2549,0,379,5588,5313,4425,334,5288,10139,1079,4693,4279,2714,2002,657,2786575.0,6.0,1443674534.0,391481162.0,179288938.0,116867284.0,184492749.0,236358594.0,54193159.0,48258484.0,168001121.0,64733043.0,2475.0,1163.0,1312.0,185.0,451.0,406.0,308.0,382.0,743.0,99.0,207.0,201.0,156.0,184.0,316.0,86.0,244.0,205.0,152.0,198.0,427.0,1423.0,0.0,1423.0,376769.0,156872.0,219897.0,43157.0,107544.0,68204.0,51672.0,50389.0,55802.0,63682.0,58739.0,54261.0,68681.0,91711.0,39695.0,44942.0,49175.0,54637.0,52610.0,54237.0,62908.0,58259.0,10,11,0,0,0,0,1,200507,453618,11110,종로구,11110640,이화동,117673
20244,A,골목상권,3110028,이화달팽이길,CS100010,커피-음료,62327690,4965,50591581,11736109,16186141,10147086,7165529,8547140,8545685,11386544,349565,0,2172498,30339541,13878160,15817771,119720,14104845,33992088,684936,12897911,14914552,12952304,5561257,1085973,3999,966,670,964,722,940,703,926,40,0,451,1907,1248,1342,17,1558,3044,50,1271,1613,1024,506,132,2461097.0,6.0,2099016363.0,639329757.0,248972562.0,159409307.0,299500785.0,301059297.0,70261739.0,71476579.0,220277672.0,88728665.0,3535.0,1787.0,1748.0,223.0,594.0,524.0,374.0,681.0,1139.0,106.0,283.0,304.0,205.0,339.0,550.0,117.0,311.0,220.0,169.0,342.0,589.0,2097.0,0.0,2097.0,2097451.0,1032290.0,1065161.0,242037.0,373542.0,300010.0,292994.0,358924.0,529945.0,606625.0,450523.0,253269.0,236535.0,294692.0,255805.0,302651.0,302562.0,300832.0,300443.0,299188.0,286219.0,305558.0,16,16,0,0,0,0,0,200575,452995,11110,종로구,11110640,이화동,159124
20244,A,골목상권,3110029,동대문역 1번,CS100010,커피-음료,419314,88,152477,266837,76239,0,38119,0,38119,152479,114358,0,0,304956,114358,0,0,152477,266837,0,0,38119,114358,266837,0,37,51,12,0,12,0,13,38,13,0,0,50,38,0,0,37,51,0,0,13,24,51,0,2098071.0,5.0,2352986552.0,659783363.0,287389889.0,169339859.0,327501098.0,377518732.0,89632191.0,72189677.0,269265170.0,100366573.0,4928.0,2566.0,2362.0,331.0,644.0,560.0,535.0,1083.0,1775.0,178.0,341.0,323.0,303.0,555.0,866.0,153.0,303.0,237.0,232.0,528.0,909.0,2596.0,0.0,2596.0,2751510.0,1334113.0,1417397.0,203798.0,420215.0,332849.0,331836.0,590001.0,872813.0,788261.0,572349.0,296136.0,294152.0,440412.0,360202.0,385020.0,386990.0,391326.0,387374.0,382594.0,402775.0,415431.0,9,9,11,1,0,0,0,200934,452953,11110,종로구,11110680,창신2동,153230
